============================================================
Currently Loaded Modulefiles:
 1) intel/oneapi/2023.2.0  
MKLROOT=/apps/support/intel_spr_rocky8.9/oneapi/2023.2.0/mkl/2023.2.0
============================================================
Job ID: namd-cy
Job name: namd-cy
Number of nodes: 1
Number of processors: 8
Task is running on the following nodes:
qhcn003
OMP_NUM_THREADS = 1
============================================================

5 995 1 1
dkcx = 0.000000, dkcy = 0.000000, dkcz = 0.000000
dkdx = 0.000000, dkdy = 0.000000, dkdz = 0.000000
dkx = 0, dky = 0, dkz = 0
Read epc time: 0.006287s.
TimeProp in 289 fs: 0.00102s.
TimeProp in 290 fs: 0.00101s.
TimeProp in 291 fs: 0.00100s.
TimeProp in 292 fs: 0.00101s.
TimeProp in 293 fs: 0.00104s.
TimeProp in 294 fs: 0.00103s.
TimeProp in 295 fs: 0.00102s.
TimeProp in 296 fs: 0.00101s.
TimeProp in 297 fs: 0.00100s.
TimeProp in 298 fs: 0.00101s.
TimeProp in 299 fs: 0.00105s.
TimeProp in 300 fs: 0.00103s.
TimeProp in 301 fs: 0.00102s.
TimeProp in 302 fs: 0.00102s.
TimeProp in 303 fs: 0.00100s.
TimeProp in 304 fs: 0.00101s.
TimeProp in 305 fs: 0.00104s.
TimeProp in 306 fs: 0.00104s.
TimeProp in 307 fs: 0.00102s.
TimeProp in 308 fs: 0.00101s.
TimeProp in 309 fs: 0.00097s.
TimeProp in 310 fs: 0.00102s.
TimeProp in 311 fs: 0.00104s.
TimeProp in 312 fs: 0.00104s.
TimeProp in 313 fs: 0.00102s.
TimeProp in 314 fs: 0.00102s.
TimeProp in 315 fs: 0.00097s.
TimeProp in 316 fs: 0.00103s.
TimeProp in 317 fs: 0.00105s.
TimeProp in 318 fs: 0.00103s.
TimeProp in 319 fs: 0.00102s.
TimeProp in 320 fs: 0.00102s.
TimeProp in 321 fs: 0.00098s.
TimeProp in 322 fs: 0.00103s.
TimeProp in 323 fs: 0.00104s.
TimeProp in 324 fs: 0.00103s.
TimeProp in 325 fs: 0.00102s.
TimeProp in 326 fs: 0.00101s.
TimeProp in 327 fs: 0.00097s.
TimeProp in 328 fs: 0.00101s.
TimeProp in 329 fs: 0.00104s.
TimeProp in 330 fs: 0.00103s.
TimeProp in 331 fs: 0.00103s.
TimeProp in 332 fs: 0.00101s.
TimeProp in 333 fs: 0.00100s.
TimeProp in 334 fs: 0.00101s.
TimeProp in 335 fs: 0.00104s.
TimeProp in 336 fs: 0.00103s.
TimeProp in 337 fs: 0.00103s.
TimeProp in 338 fs: 0.00102s.
TimeProp in 339 fs: 0.00099s.
TimeProp in 340 fs: 0.00101s.
TimeProp in 341 fs: 0.00104s.
TimeProp in 342 fs: 0.00103s.
TimeProp in 343 fs: 0.00101s.
TimeProp in 344 fs: 0.00100s.
TimeProp in 345 fs: 0.00101s.
TimeProp in 346 fs: 0.00101s.
TimeProp in 347 fs: 0.00105s.
TimeProp in 348 fs: 0.00103s.
TimeProp in 349 fs: 0.00103s.
TimeProp in 350 fs: 0.00102s.
TimeProp in 351 fs: 0.00099s.
TimeProp in 352 fs: 0.00101s.
TimeProp in 353 fs: 0.00105s.
TimeProp in 354 fs: 0.00104s.
TimeProp in 355 fs: 0.00103s.
TimeProp in 356 fs: 0.00102s.
TimeProp in 357 fs: 0.00098s.
TimeProp in 358 fs: 0.00100s.
TimeProp in 359 fs: 0.00103s.
TimeProp in 360 fs: 0.00104s.
TimeProp in 361 fs: 0.00103s.
TimeProp in 362 fs: 0.00103s.
TimeProp in 363 fs: 0.00099s.
TimeProp in 364 fs: 0.00102s.
TimeProp in 365 fs: 0.00105s.
TimeProp in 366 fs: 0.00103s.
TimeProp in 367 fs: 0.00102s.
TimeProp in 368 fs: 0.00102s.
TimeProp in 369 fs: 0.00098s.
TimeProp in 370 fs: 0.00103s.
TimeProp in 371 fs: 0.00104s.
TimeProp in 372 fs: 0.00103s.
TimeProp in 373 fs: 0.00102s.
TimeProp in 374 fs: 0.00104s.
TimeProp in 375 fs: 0.00098s.
TimeProp in 376 fs: 0.00103s.
TimeProp in 377 fs: 0.00104s.
TimeProp in 378 fs: 0.00103s.
TimeProp in 379 fs: 0.00101s.
TimeProp in 380 fs: 0.00101s.
TimeProp in 381 fs: 0.00100s.
TimeProp in 382 fs: 0.00100s.
TimeProp in 383 fs: 0.00104s.
TimeProp in 384 fs: 0.00103s.
TimeProp in 385 fs: 0.00101s.
TimeProp in 386 fs: 0.00101s.
TimeProp in 387 fs: 0.00098s.
TimeProp in 388 fs: 0.00100s.
TimeProp in 389 fs: 0.00102s.
TimeProp in 390 fs: 0.00103s.
TimeProp in 391 fs: 0.00098s.
TimeProp in 392 fs: 0.00101s.
TimeProp in 393 fs: 0.00101s.
TimeProp in 394 fs: 0.00102s.
TimeProp in 395 fs: 0.00102s.
TimeProp in 396 fs: 0.00103s.
TimeProp in 397 fs: 0.00099s.
TimeProp in 398 fs: 0.00102s.
TimeProp in 399 fs: 0.00102s.
TimeProp in 400 fs: 0.00101s.
TimeProp in 401 fs: 0.00103s.
TimeProp in 402 fs: 0.00104s.
TimeProp in 403 fs: 0.00099s.
TimeProp in 404 fs: 0.00101s.
TimeProp in 405 fs: 0.00104s.
TimeProp in 406 fs: 0.00103s.
TimeProp in 407 fs: 0.00102s.
TimeProp in 408 fs: 0.00103s.
TimeProp in 409 fs: 0.00100s.
TimeProp in 410 fs: 0.00101s.
TimeProp in 411 fs: 0.00101s.
TimeProp in 412 fs: 0.00102s.
TimeProp in 413 fs: 0.00101s.
TimeProp in 414 fs: 0.00103s.
TimeProp in 415 fs: 0.00100s.
TimeProp in 416 fs: 0.00102s.
TimeProp in 417 fs: 0.00102s.
TimeProp in 418 fs: 0.00103s.
TimeProp in 419 fs: 0.00102s.
TimeProp in 420 fs: 0.00103s.
TimeProp in 421 fs: 0.00101s.
TimeProp in 422 fs: 0.00101s.
TimeProp in 423 fs: 0.00102s.
TimeProp in 424 fs: 0.00103s.
TimeProp in 425 fs: 0.00101s.
TimeProp in 426 fs: 0.00103s.
TimeProp in 427 fs: 0.00104s.
TimeProp in 428 fs: 0.00103s.
TimeProp in 429 fs: 0.00101s.
TimeProp in 430 fs: 0.00100s.
TimeProp in 431 fs: 0.00101s.
TimeProp in 432 fs: 0.00103s.
TimeProp in 433 fs: 0.00104s.
TimeProp in 434 fs: 0.00101s.
TimeProp in 435 fs: 0.00102s.
TimeProp in 436 fs: 0.00101s.
TimeProp in 437 fs: 0.00101s.
TimeProp in 438 fs: 0.00103s.
TimeProp in 439 fs: 0.00104s.
TimeProp in 440 fs: 0.00102s.
TimeProp in 441 fs: 0.00101s.
TimeProp in 442 fs: 0.00101s.
TimeProp in 443 fs: 0.00102s.
TimeProp in 444 fs: 0.00103s.
TimeProp in 445 fs: 0.00104s.
TimeProp in 446 fs: 0.00102s.
TimeProp in 447 fs: 0.00101s.
TimeProp in 448 fs: 0.00102s.
TimeProp in 449 fs: 0.00101s.
TimeProp in 450 fs: 0.00104s.
TimeProp in 451 fs: 0.00104s.
TimeProp in 452 fs: 0.00103s.
TimeProp in 453 fs: 0.00100s.
TimeProp in 454 fs: 0.00102s.
TimeProp in 455 fs: 0.00100s.
TimeProp in 456 fs: 0.00103s.
TimeProp in 457 fs: 0.00103s.
TimeProp in 458 fs: 0.00106s.
TimeProp in 459 fs: 0.00100s.
TimeProp in 460 fs: 0.00100s.
TimeProp in 461 fs: 0.00101s.
TimeProp in 462 fs: 0.00090s.
TimeProp in 463 fs: 0.00091s.
TimeProp in 464 fs: 0.00092s.
TimeProp in 465 fs: 0.00090s.
TimeProp in 466 fs: 0.00089s.
TimeProp in 467 fs: 0.00090s.
TimeProp in 468 fs: 0.00087s.
TimeProp in 469 fs: 0.00091s.
TimeProp in 470 fs: 0.00090s.
TimeProp in 471 fs: 0.00093s.
TimeProp in 472 fs: 0.00086s.
TimeProp in 473 fs: 0.00087s.
TimeProp in 474 fs: 0.00087s.
TimeProp in 475 fs: 0.00088s.
TimeProp in 476 fs: 0.00090s.
TimeProp in 477 fs: 0.00089s.
TimeProp in 478 fs: 0.00090s.
TimeProp in 479 fs: 0.00088s.
TimeProp in 480 fs: 0.00087s.
TimeProp in 481 fs: 0.00091s.
TimeProp in 482 fs: 0.00093s.
TimeProp in 483 fs: 0.00089s.
TimeProp in 484 fs: 0.00092s.
TimeProp in 485 fs: 0.00091s.
TimeProp in 486 fs: 0.00090s.
TimeProp in 487 fs: 0.00089s.
TimeProp in 488 fs: 0.00087s.
TimeProp in 489 fs: 0.00091s.
TimeProp in 490 fs: 0.00092s.
TimeProp in 491 fs: 0.00088s.
TimeProp in 492 fs: 0.00094s.
TimeProp in 493 fs: 0.00090s.
TimeProp in 494 fs: 0.00089s.
TimeProp in 495 fs: 0.00085s.
TimeProp in 496 fs: 0.00090s.
TimeProp in 497 fs: 0.00090s.
TimeProp in 498 fs: 0.00089s.
TimeProp in 499 fs: 0.00088s.
TimeProp in 500 fs: 0.00085s.
TimeProp in 501 fs: 0.00086s.
TimeProp in 502 fs: 0.00085s.
TimeProp in 503 fs: 0.00093s.
TimeProp in 504 fs: 0.00088s.
TimeProp in 505 fs: 0.00089s.
TimeProp in 506 fs: 0.00085s.
TimeProp in 507 fs: 0.00088s.
TimeProp in 508 fs: 0.00091s.
TimeProp in 509 fs: 0.00094s.
TimeProp in 510 fs: 0.00089s.
TimeProp in 511 fs: 0.00085s.
TimeProp in 512 fs: 0.00085s.
TimeProp in 513 fs: 0.00089s.
TimeProp in 514 fs: 0.00087s.
TimeProp in 515 fs: 0.00088s.
TimeProp in 516 fs: 0.00092s.
TimeProp in 517 fs: 0.00086s.
TimeProp in 518 fs: 0.00085s.
TimeProp in 519 fs: 0.00090s.
TimeProp in 520 fs: 0.00091s.
TimeProp in 521 fs: 0.00088s.
TimeProp in 522 fs: 0.00092s.
TimeProp in 523 fs: 0.00088s.
TimeProp in 524 fs: 0.00088s.
TimeProp in 525 fs: 0.00092s.
TimeProp in 526 fs: 0.00093s.
TimeProp in 527 fs: 0.00088s.
TimeProp in 528 fs: 0.00085s.
TimeProp in 529 fs: 0.00090s.
TimeProp in 530 fs: 0.00087s.
TimeProp in 531 fs: 0.00088s.
TimeProp in 532 fs: 0.00092s.
TimeProp in 533 fs: 0.00093s.
TimeProp in 534 fs: 0.00085s.
TimeProp in 535 fs: 0.00092s.
TimeProp in 536 fs: 0.00086s.
TimeProp in 537 fs: 0.00088s.
TimeProp in 538 fs: 0.00091s.
TimeProp in 539 fs: 0.00094s.
TimeProp in 540 fs: 0.00088s.
TimeProp in 541 fs: 0.00084s.
TimeProp in 542 fs: 0.00087s.
TimeProp in 543 fs: 0.00089s.
TimeProp in 544 fs: 0.00092s.
TimeProp in 545 fs: 0.00091s.
TimeProp in 546 fs: 0.00090s.
TimeProp in 547 fs: 0.00085s.
TimeProp in 548 fs: 0.00090s.
TimeProp in 549 fs: 0.00089s.
TimeProp in 550 fs: 0.00093s.
TimeProp in 551 fs: 0.00087s.
TimeProp in 552 fs: 0.00092s.
TimeProp in 553 fs: 0.00090s.
TimeProp in 554 fs: 0.00087s.
TimeProp in 555 fs: 0.00086s.
TimeProp in 556 fs: 0.00091s.
TimeProp in 557 fs: 0.00091s.
TimeProp in 558 fs: 0.00086s.
TimeProp in 559 fs: 0.00089s.
TimeProp in 560 fs: 0.00087s.
TimeProp in 561 fs: 0.00088s.
TimeProp in 562 fs: 0.00085s.
TimeProp in 563 fs: 0.00085s.
TimeProp in 564 fs: 0.00089s.
TimeProp in 565 fs: 0.00095s.
TimeProp in 566 fs: 0.00086s.
TimeProp in 567 fs: 0.00088s.
TimeProp in 568 fs: 0.00089s.
TimeProp in 569 fs: 0.00089s.
TimeProp in 570 fs: 0.00092s.
TimeProp in 571 fs: 0.00091s.
TimeProp in 572 fs: 0.00090s.
TimeProp in 573 fs: 0.00090s.
TimeProp in 574 fs: 0.00091s.
TimeProp in 575 fs: 0.00086s.
TimeProp in 576 fs: 0.00088s.
TimeProp in 577 fs: 0.00090s.
TimeProp in 578 fs: 0.00093s.
TimeProp in 579 fs: 0.00086s.
TimeProp in 580 fs: 0.00087s.
TimeProp in 581 fs: 0.00087s.
TimeProp in 582 fs: 0.00087s.
TimeProp in 583 fs: 0.00092s.
TimeProp in 584 fs: 0.00094s.
TimeProp in 585 fs: 0.00089s.
TimeProp in 586 fs: 0.00089s.
TimeProp in 587 fs: 0.00085s.
TimeProp in 588 fs: 0.00089s.
TimeProp in 589 fs: 0.00093s.
TimeProp in 590 fs: 0.00087s.
TimeProp in 591 fs: 0.00092s.
TimeProp in 592 fs: 0.00089s.
TimeProp in 593 fs: 0.00091s.
TimeProp in 594 fs: 0.00087s.
TimeProp in 595 fs: 0.00093s.
TimeProp in 596 fs: 0.00090s.
TimeProp in 597 fs: 0.00087s.
TimeProp in 598 fs: 0.00090s.
TimeProp in 599 fs: 0.00094s.
TimeProp in 600 fs: 0.00086s.
TimeProp in 601 fs: 0.00094s.
TimeProp in 602 fs: 0.00092s.
TimeProp in 603 fs: 0.00085s.
TimeProp in 604 fs: 0.00090s.
TimeProp in 605 fs: 0.00090s.
TimeProp in 606 fs: 0.00088s.
TimeProp in 607 fs: 0.00088s.
TimeProp in 608 fs: 0.00091s.
TimeProp in 609 fs: 0.00088s.
TimeProp in 610 fs: 0.00090s.
TimeProp in 611 fs: 0.00086s.
TimeProp in 612 fs: 0.00092s.
TimeProp in 613 fs: 0.00090s.
TimeProp in 614 fs: 0.00086s.
TimeProp in 615 fs: 0.00088s.
TimeProp in 616 fs: 0.00088s.
TimeProp in 617 fs: 0.00087s.
TimeProp in 618 fs: 0.00092s.
TimeProp in 619 fs: 0.00092s.
TimeProp in 620 fs: 0.00089s.
TimeProp in 621 fs: 0.00088s.
TimeProp in 622 fs: 0.00089s.
TimeProp in 623 fs: 0.00085s.
TimeProp in 624 fs: 0.00087s.
TimeProp in 625 fs: 0.00091s.
TimeProp in 626 fs: 0.00091s.
TimeProp in 627 fs: 0.00091s.
TimeProp in 628 fs: 0.00084s.
TimeProp in 629 fs: 0.00088s.
TimeProp in 630 fs: 0.00108s.
TimeProp in 631 fs: 0.00094s.
TimeProp in 632 fs: 0.00091s.
TimeProp in 633 fs: 0.00093s.
TimeProp in 634 fs: 0.00085s.
TimeProp in 635 fs: 0.00088s.
TimeProp in 636 fs: 0.00090s.
TimeProp in 637 fs: 0.00094s.
TimeProp in 638 fs: 0.00092s.
TimeProp in 639 fs: 0.00086s.
TimeProp in 640 fs: 0.00087s.
TimeProp in 641 fs: 0.00090s.
TimeProp in 642 fs: 0.00091s.
TimeProp in 643 fs: 0.00086s.
TimeProp in 644 fs: 0.00091s.
TimeProp in 645 fs: 0.00091s.
TimeProp in 646 fs: 0.00086s.
TimeProp in 647 fs: 0.00087s.
TimeProp in 648 fs: 0.00094s.
TimeProp in 649 fs: 0.00089s.
TimeProp in 650 fs: 0.00093s.
TimeProp in 651 fs: 0.00092s.
TimeProp in 652 fs: 0.00090s.
TimeProp in 653 fs: 0.00091s.
TimeProp in 654 fs: 0.00093s.
TimeProp in 655 fs: 0.00089s.
TimeProp in 656 fs: 0.00085s.
TimeProp in 657 fs: 0.00088s.
TimeProp in 658 fs: 0.00087s.
TimeProp in 659 fs: 0.00088s.
TimeProp in 660 fs: 0.00086s.
TimeProp in 661 fs: 0.00093s.
TimeProp in 662 fs: 0.00090s.
TimeProp in 663 fs: 0.00090s.
TimeProp in 664 fs: 0.00088s.
TimeProp in 665 fs: 0.00087s.
TimeProp in 666 fs: 0.00085s.
TimeProp in 667 fs: 0.00094s.
TimeProp in 668 fs: 0.00092s.
TimeProp in 669 fs: 0.00092s.
